row,occupation_label,indent_spaces,unemployment_rate,unemployed_thousands,labor_force_thousands
525,Tool and die makers,0,–,1,30
526,"Welding, soldering, and brazing workers",0,4.3,26,599
527,Other metal workers and plastic workers,0,2,6,314
528,Prepress technicians and workers,0,–,0,10
529,Printing press operators,0,4.3,6,148
530,Print binding and finishing workers,0,–,0,5
531,Laundry and dry-cleaning workers,0,5.9,9,146
532,"Pressers, textile, garment, and related materials",0,–,1,21
533,Sewing machine operators,0,6,6,98
534,Shoe and leather workers,0,–,0,12
535,"Tailors, dressmakers, and sewers",0,4.5,3,63
536,"Textile machine setters, operators, and tenders",0,–,0,18
537,Upholsterers,0,–,0,20
538,"Other textile, apparel, and furnishings workers",0,–,0,14
539,Cabinetmakers and bench carpenters,0,–,1,44
540,Furniture finishers,0,–,0,20
541,"Sawing machine setters, operators, and tenders, wood",0,–,0,15
542,"Woodworking machine setters, operators, and tenders, except sawing",0,–,0,5
543,Other woodworkers,0,–,1,38
544,"Power plant operators, distributors, and dispatchers",0,–,0,45
545,Stationary engineers and boiler operators,0,1.6,2,110
546,Water and wastewater treatment plant and system operators,0,1.9,2,121
547,Miscellaneous plant and system operators,0,–,1,43
548,"Chemical processing machine setters, operators, and tenders",0,4.3,2,57
549,"Crushing, grinding, polishing, mixing, and blending workers",0,2.8,2,73
550,Cutting workers,0,–,3,43
551,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",0,–,0,17
552,"Furnace, kiln, oven, drier, and kettle operators and tenders",0,–,1,16
553,"Inspectors, testers, sorters, samplers, and weighers",0,3.9,30,767
554,Jewelers and precious stone and metal workers,0,–,0,42
555,Dental and ophthalmic laboratory technicians and medical appliance technicians,0,2.7,2,77
556,Packaging and filling machine operators and tenders,0,5.3,14,255
557,Painting workers,0,1.4,2,175
558,Photographic process workers and processing machine operators,0,–,1,25
559,Adhesive bonding machine operators and tenders,0,–,0,7
560,Etchers and engravers,0,–,0,6
561,"Molders, shapers, and casters, except metal and plastic",0,–,5,36
562,"Paper goods machine setters, operators, and tenders",0,–,0,14
563,Tire builders,0,–,0,14
564,Helpers--production workers,0,7.1,5,73
565,Other production equipment operators and tenders,0,–,0,4
566,Other production workers,0,4.8,65,1351
567,Transportation and material moving occupations,0,6,752,12633
568,Supervisors of transportation and material moving workers,0,1.2,4,306
569,Aircraft pilots and flight engineers,0,0.3,1,202
570,Air traffic controllers and airfield operations specialists,0,–,0,40
571,Flight attendants,0,0.9,1,130
572,"Ambulance drivers and attendants, except emergency medical technicians",0,–,0,17
573,"Bus drivers, school",0,5.1,11,221
574,"Bus drivers, transit and intercity",0,4.8,14,282
575,Driver/sales workers and truck drivers,0,4.1,155,3738
576,Shuttle drivers and chauffeurs,0,8.7,8,90
577,Taxi drivers,0,3.7,22,597
578,"Motor vehicle operators, all other",0,2.5,4,147
579,Locomotive engineers and operators,0,–,0,33
580,Railroad conductors and yardmasters,0,0.4,0,56
581,Other rail transportation workers,0,–,0,26
582,Sailors and marine oilers,0,–,6,24
583,Ship and boat captains and operators,0,–,0,46
584,Ship engineers,0,–,0,3
585,Parking attendants,0,2.8,2,78
586,Transportation service attendants,0,9.9,10,102
587,Transportation inspectors,0,–,0,44
588,Passenger attendants,0,–,2,39
589,Other transportation workers,0,–,2,48
590,Crane and tower operators,0,2.3,1,60
591,"Conveyor, dredge, and hoist and winch operators",0,–,1,35
